solver,nfe_budget,sampling_steps,actual_nfe,seed,AP,AP50,AP75,latency_ms_median,latency_ms_mean,wall_s
ddim,1,1,1,0,61.71833990864427,83.64274691951856,65.8923576265698,37.61,41.15,34.0
ddim,1,1,1,1,62.00010421988708,83.92199630724141,66.2237588966915,37.27,38.05,31.8
ddim,1,1,1,2,62.221650578015996,84.37045907379752,65.78248732971988,38.9,39.51,33.1
ddim,2,2,2,0,61.40810925880561,83.7181984397494,64.77991810462386,60.15,61.45,49.6
ddim,2,2,2,1,61.44487740177479,83.75172623890691,64.73697519419628,60.87,62.13,51.4
ddim,2,2,2,2,61.252281963931196,83.89535947076173,64.09175186778587,61.0,62.25,50.4
ddim,3,3,3,0,60.784311331705645,82.93611024419654,64.04451005431243,84.12,86.03,68.1
ddim,3,3,3,1,60.68600656422007,82.98559999025439,64.08738634799072,83.48,84.96,67.2
ddim,3,3,3,2,60.17141686920141,83.03765621801271,63.80414474347088,83.22,84.81,67.6
ddim,4,4,4,0,60.00219781055412,82.9717251137287,62.98146548704354,106.37,108.85,85.4
ddim,4,4,4,1,59.78742783038189,82.49410673956812,63.527904332194986,106.94,109.53,86.5
ddim,4,4,4,2,60.05925397000815,82.45735071481487,64.30698404649878,105.4,107.91,85.0
ddim,6,6,6,0,59.01316562704978,81.3470220420188,62.16003917820087,151.83,156.08,121.0
ddim,6,6,6,1,58.60184930472866,81.23862814058465,61.683306156355236,150.33,152.74,118.5
ddim,6,6,6,2,59.107869593466745,81.73427803004932,62.839030474011395,151.65,155.07,120.2
ddim,8,8,8,0,58.542657578296875,80.96127961585317,61.70642501818745,195.35,199.07,153.4
ddim,8,8,8,1,58.226462249040445,80.54209689868588,61.51161030439607,190.72,193.6,148.8
ddim,8,8,8,2,58.0790094310881,79.90473582240716,61.52121679642866,196.02,200.34,154.0
ddim,10,10,10,0,58.341201286876085,80.53557271847957,61.6082136212539,239.95,247.73,189.5
ddim,10,10,10,1,57.133414334645515,79.50173679651942,60.02936761883515,239.48,244.07,187.3
ddim,10,10,10,2,57.41654669875391,79.84358695851144,60.83319270744821,241.9,248.99,191.2
euler,1,1,1,0,61.71833990864427,83.64274691951856,65.8923576265698,40.12,40.83,34.0
euler,1,1,1,1,62.00010421988708,83.92199630724141,66.2237588966915,39.91,40.49,33.5
euler,1,1,1,2,62.221650578015996,84.37045907379752,65.78248732971988,39.14,39.64,33.1
euler,2,2,2,0,61.00566689965827,83.9096105030647,64.36539632858941,62.94,64.22,51.4
euler,2,2,2,1,61.24255658939431,83.94635200050561,64.91559883472596,62.25,63.66,51.0
euler,2,2,2,2,60.37917471066612,83.49482629455031,64.42916538438851,61.98,63.51,50.8
euler,3,3,3,0,61.10016752734602,83.70340192599818,64.75564263153008,84.65,86.62,69.0
euler,3,3,3,1,61.05496276991838,83.65987947775747,64.43682050238323,84.2,85.66,67.9
euler,3,3,3,2,60.409766318640564,82.80876730206165,64.15179836859913,84.04,85.38,67.4
euler,4,4,4,0,60.15105202596486,83.2495781960443,64.01788701254924,106.25,109.11,85.3
euler,4,4,4,1,60.98913774098129,83.4295186457362,63.90061797415122,105.55,108.47,85.4
euler,4,4,4,2,60.59045275072682,83.43137295470493,64.25909826275938,105.72,107.99,84.6
euler,6,6,6,0,60.43050868913418,82.96869325720589,64.14456633938468,150.76,153.31,118.6
euler,6,6,6,1,60.58840277495828,83.39572082220492,63.934816480030484,151.06,153.76,118.6
euler,6,6,6,2,60.338989303332916,83.15331130163703,63.63809035057967,151.21,155.12,119.5
euler,8,8,8,0,60.105145040308564,83.01536603712954,64.0946521550944,197.51,202.51,155.1
euler,8,8,8,1,60.26735357370041,83.26793733898472,63.73527179702372,196.96,200.75,153.8
euler,8,8,8,2,60.184295540883696,82.65915724340456,63.472421695255754,196.73,201.52,154.5
euler,10,10,10,0,59.87616564473331,82.59541011022932,63.30807466651381,241.25,247.81,189.4
euler,10,10,10,1,59.881178106014545,82.35695465607618,62.8785800882956,245.15,250.85,191.7
euler,10,10,10,2,59.949053291901556,82.66794137980669,63.645588029716635,240.74,244.75,186.8
heun,1,1,1,0,61.71833990864427,83.64274691951856,65.8923576265698,38.64,39.42,33.1
heun,1,1,1,1,62.00010421988708,83.92199630724141,66.2237588966915,38.53,39.47,33.1
heun,1,1,1,2,62.221650578015996,84.37045907379752,65.78248732971988,39.26,40.29,33.6
heun,3,2,3,0,61.00566689965827,83.9096105030647,64.36539632858941,59.51,60.87,48.6
heun,3,2,3,1,61.24255658939431,83.94635200050561,64.91559883472596,58.74,59.95,48.2
heun,3,2,3,2,60.37917471066612,83.49482629455031,64.42916538438851,61.2,62.97,50.4
heun,6,3,5,0,61.10016752734602,83.70340192599818,64.75564263153008,84.01,85.88,67.7
heun,6,3,5,1,61.05496276991838,83.65987947775747,64.43682050238323,83.27,84.88,67.1
heun,6,3,5,2,60.409766318640564,82.80876730206165,64.15179836859913,85.31,87.14,68.5
heun,8,4,7,0,60.42768456001064,83.26616916695176,64.30834224911467,129.72,133.15,103.3
heun,8,4,7,1,60.478956865371124,82.72777709318676,63.73959992869148,129.38,132.04,102.3
heun,8,4,7,2,60.145565087145684,82.98418627700127,64.07920811865925,127.97,130.13,101.3
heun,10,5,9,0,60.542977322943926,82.98709150875972,64.91164897326786,171.95,176.79,135.8
heun,10,5,9,1,60.45882671442085,83.02957995121187,63.863933311386454,173.36,177.71,136.5
heun,10,5,9,2,60.53685524914866,83.44792270474618,63.74434645904338,172.25,175.65,134.8
dpm_v3,1,1,1,0,61.71833990864427,83.64274691951856,65.8923576265698,64.43,69.42,55.1
dpm_v3,1,1,1,1,62.00010421988708,83.92199630724141,66.2237588966915,68.47,74.47,59.8
dpm_v3,1,1,1,2,62.221650578015996,84.37045907379752,65.78248732971988,67.75,75.03,59.6
dpm_v3,2,2,2,0,61.75530807636599,83.96148429083492,65.14970233210978,95.0,102.52,80.1
dpm_v3,2,2,2,1,62.15845635148363,84.55435132536485,66.17412475336822,98.38,104.4,81.4
dpm_v3,2,2,2,2,61.82888951059496,84.46117046608067,64.95982514481263,98.15,103.26,80.4
dpm_v3,3,3,3,0,61.164095915525564,83.69694003431867,64.85095254668278,130.04,139.35,107.8
dpm_v3,3,3,3,1,61.10144015436265,83.82362587047844,64.38917061121302,134.16,142.38,110.0
dpm_v3,3,3,3,2,60.647685150897466,83.6581751244915,64.20127452492136,126.92,135.24,105.2
dpm_v3,4,4,4,0,61.67955287977578,83.92018661959439,65.07027701777304,162.52,170.72,132.0
dpm_v3,4,4,4,1,60.80837550118072,84.05879910718456,63.750857113447424,163.9,171.32,131.8
dpm_v3,4,4,4,2,61.28487880847727,84.17056162419783,65.04072600278747,164.47,172.27,132.5
dpm_v3,6,6,6,0,59.92883761285359,82.44540010802093,63.39180359245644,230.31,241.7,184.4
dpm_v3,6,6,6,1,60.534555495576136,82.81291374227392,63.966138395459694,231.13,243.61,186.2
dpm_v3,6,6,6,2,59.56762591417522,82.15827249683973,62.93204134772129,228.86,239.19,182.8
dpm_v3,8,8,8,0,59.26859197635949,81.56867983044881,62.42540845371267,296.35,308.05,234.3
dpm_v3,8,8,8,1,59.226689646299555,81.87917218639093,62.792424237858626,293.32,302.68,230.6
dpm_v3,8,8,8,2,58.86923902952037,80.98777286339623,62.41458245963876,298.77,310.57,236.0
dpm_v3,10,10,10,0,57.99913988874207,80.61439547908176,60.596383017767565,353.96,365.49,280.0
dpm_v3,10,10,10,1,58.11474945332961,80.56531280138647,61.103720803187,363.51,374.95,285.9
dpm_v3,10,10,10,2,57.670838114716936,79.98889034191333,60.67383276452237,358.53,366.37,278.6
