tag,solver,nfe_budget,sampling_steps,actual_nfe,seed,AP,AP50,AP75,latency_ms_median,latency_ms_mean,wall_s
m3_percoord,dpm_v3,1,1,1,0,61.71833990864427,83.64274691951856,65.8923576265698,258.23,311.02,237.1
m3_percoord,dpm_v3,1,1,1,1,62.00010421988708,83.92199630724141,66.2237588966915,224.06,227.87,174.2
m3_percoord,dpm_v3,1,1,1,2,62.221650578015996,84.37045907379752,65.78248732971988,222.3,226.2,172.9
m3_percoord,dpm_v3,2,2,2,0,61.98943914940549,83.8237992361781,66.2894234746378,280.75,293.86,223.7
m3_percoord,dpm_v3,2,2,2,1,62.218684776421554,84.07825408761201,66.6024978815423,263.48,266.76,203.4
m3_percoord,dpm_v3,2,2,2,2,61.919978173067456,84.29171422348325,65.84595186516403,267.36,270.76,206.3
m3_percoord,dpm_v3,3,3,3,0,59.10955414644472,81.96004738577494,62.301873837671806,341.35,348.55,265.5
m3_percoord,dpm_v3,3,3,3,1,59.323031533516556,82.1676313775782,62.95118901042309,344.77,345.49,262.7
m3_percoord,dpm_v3,3,3,3,2,59.15409057245148,82.48973470245649,62.21149519340696,330.81,333.84,254.0
m3_percoord,dpm_v3,4,4,4,0,48.05325278443052,68.18454019147721,51.09882505026554,316.8,320.74,243.7
m3_percoord,dpm_v3,4,4,4,1,49.40041559236485,70.65269504923661,52.40750093575267,326.71,343.36,260.6
m3_percoord,dpm_v3,4,4,4,2,47.34648259371821,67.78366662537447,49.51055926255627,319.07,322.52,245.1
m3_percoord,dpm_v3,6,6,6,0,37.32269197370301,54.41075167549067,39.783768225951086,375.42,378.05,286.4
m3_percoord,dpm_v3,6,6,6,1,38.938368902511456,55.966833577956976,40.60532992729,388.5,391.4,296.5
m3_percoord,dpm_v3,6,6,6,2,36.653035705575796,55.45105806321741,36.86404676829773,371.86,393.62,298.1
m3_percoord,dpm_v3,8,8,8,0,33.94204953600229,51.015910025376044,33.86675094215118,415.32,417.83,316.1
m3_percoord,dpm_v3,8,8,8,1,33.50463541676326,49.52392933882875,34.02799482810026,414.58,416.88,315.4
m3_percoord,dpm_v3,8,8,8,2,32.71299876060968,48.033387684833166,34.075266831926555,446.18,448.04,339.7
m3_percoord,dpm_v3,10,10,10,0,37.17033293996333,55.94408557224748,38.251754383957824,481.67,482.54,364.6
m3_percoord,dpm_v3,10,10,10,1,37.705089807622954,56.672787137846626,39.36753892471446,506.88,509.05,384.5
m3_percoord,dpm_v3,10,10,10,2,37.32969701820309,54.40410213244331,39.59672676586676,506.73,510.37,385.7
