tag,solver,nfe_budget,sampling_steps,actual_nfe,seed,AP,AP50,AP75,latency_ms_median,latency_ms_mean,wall_s
m3_scalar,dpm_v3,1,1,1,0,61.71833990864427,83.64274691951856,65.8923576265698,49.06,52.02,42.3
m3_scalar,dpm_v3,1,1,1,1,62.00010421988708,83.92199630724141,66.2237588966915,47.57,49.59,40.4
m3_scalar,dpm_v3,1,1,1,2,62.221650578015996,84.37045907379752,65.78248732971988,48.28,49.85,40.6
m3_scalar,dpm_v3,2,2,2,0,61.94104391387605,83.90361913544758,65.5711125086905,74.94,77.41,62.1
m3_scalar,dpm_v3,2,2,2,1,62.1323178123808,84.59588029230109,66.45757000743903,65.97,70.61,56.2
m3_scalar,dpm_v3,2,2,2,2,62.35941592117295,84.24132606971565,66.09231871746832,69.51,71.33,56.7
m3_scalar,dpm_v3,3,3,3,0,48.92379731945427,68.49976540692023,51.60932898039755,101.41,105.59,82.7
m3_scalar,dpm_v3,3,3,3,1,48.61013207102318,68.10481604930322,50.63930353115506,102.67,105.89,82.8
m3_scalar,dpm_v3,3,3,3,2,48.37587161784953,68.19804255029632,50.890451024568094,102.73,105.77,82.5
m3_scalar,dpm_v3,4,4,4,0,54.12610694613841,74.89835804235001,57.356151587358006,131.39,134.76,104.7
m3_scalar,dpm_v3,4,4,4,1,54.63705824744336,75.97696330371407,58.24944458492145,133.88,137.68,106.4
m3_scalar,dpm_v3,4,4,4,2,55.014992215410466,76.42038323308144,59.20677789986415,133.73,136.82,105.9
m3_scalar,dpm_v3,6,6,6,0,49.52205624255983,70.12973598191691,52.235290651894914,193.03,197.05,150.8
m3_scalar,dpm_v3,6,6,6,1,48.049620046695054,68.82170811982174,50.07744992045998,195.21,200.84,154.1
m3_scalar,dpm_v3,6,6,6,2,48.893650819441795,69.14745520599398,52.30529518932455,197.28,202.55,155.1
m3_scalar,dpm_v3,8,8,8,0,50.911768610183806,70.64688183315056,55.19749950034488,258.82,268.74,204.7
m3_scalar,dpm_v3,8,8,8,1,52.31251098165461,73.0413078521105,55.44628843641684,272.72,278.82,212.3
m3_scalar,dpm_v3,8,8,8,2,51.183559874939824,72.0652682946362,54.971800133116474,272.49,279.13,212.5
m3_scalar,dpm_v3,10,10,10,0,55.35562124084227,77.07827054805475,58.93774856974383,336.43,343.8,261.0
m3_scalar,dpm_v3,10,10,10,1,55.84433851781478,77.76092213871782,59.78781683604796,331.05,338.07,256.6
m3_scalar,dpm_v3,10,10,10,2,54.32737306295044,75.30218314117339,58.38032389150657,328.14,337.05,256.2
