tag,solver,nfe_budget,sampling_steps,actual_nfe,seed,AP,AP50,AP75,latency_ms_median,latency_ms_mean,wall_s
m3_k256_pc,dpm_v3,1,1,1,0,61.71833990864427,83.64274691951856,65.8923576265698,252.61,276.91,211.7
m3_k256_pc,dpm_v3,1,1,1,1,62.00010421988708,83.92199630724141,66.2237588966915,217.54,219.67,167.7
m3_k256_pc,dpm_v3,1,1,1,2,62.221650578015996,84.37045907379752,65.78248732971988,215.63,217.4,166.3
m3_k256_pc,dpm_v3,2,2,2,0,61.88597945618698,83.97967871889925,65.75885365976993,276.66,280.55,213.5
m3_k256_pc,dpm_v3,2,2,2,1,62.121531702880276,84.19886639183716,66.41510127901358,276.02,280.06,213.2
m3_k256_pc,dpm_v3,2,2,2,2,61.80113626764467,84.23147946214426,65.46496526577197,276.35,279.28,212.9
m3_k256_pc,dpm_v3,3,3,3,0,57.23156048329159,79.8208621495375,60.22167090485072,305.63,310.48,236.2
m3_k256_pc,dpm_v3,3,3,3,1,56.560075111165546,78.6462523291273,60.32983113125477,284.75,286.7,218.4
m3_k256_pc,dpm_v3,3,3,3,2,57.5317698969996,79.97965704967459,61.08015991737804,313.06,314.08,239.1
m3_k256_pc,dpm_v3,4,4,4,0,50.981551996645614,72.59736526943972,53.83028023414691,340.01,362.89,275.4
m3_k256_pc,dpm_v3,4,4,4,1,51.71644440158296,72.95257253644641,54.364622880979056,303.8,308.25,234.3
m3_k256_pc,dpm_v3,4,4,4,2,52.25475874883367,73.26292030614461,55.89073392697473,331.94,338.2,256.6
m3_k256_pc,dpm_v3,6,6,6,0,39.77230548835198,57.676264544856934,41.25914340644177,380.44,389.13,294.8
m3_k256_pc,dpm_v3,6,6,6,1,39.89965097049421,57.56631482017347,41.154989545503554,392.36,403.79,305.8
m3_k256_pc,dpm_v3,6,6,6,2,40.68114065443131,59.60989023798942,42.37140851058371,386.88,411.05,311.9
m3_k256_pc,dpm_v3,8,8,8,0,38.406833732239335,55.9482057136384,39.84501466544973,414.55,420.38,318.1
m3_k256_pc,dpm_v3,8,8,8,1,38.446495637053516,56.03977221057285,38.29230032800859,450.96,454.93,343.9
m3_k256_pc,dpm_v3,8,8,8,2,38.77925699116791,56.43591325480591,40.25237977899431,456.77,467.8,353.7
m3_k256_pc,dpm_v3,10,10,10,0,45.07552762127603,64.88217553888998,47.42597692717217,517.55,527.53,398.5
m3_k256_pc,dpm_v3,10,10,10,1,45.06236683084584,64.54686739928556,47.29693379555238,508.21,518.26,391.5
m3_k256_pc,dpm_v3,10,10,10,2,46.12649308449941,66.66135797932466,47.235256971604485,505.09,510.82,386.0
