tag,solver,nfe_budget,sampling_steps,actual_nfe,seed,AP,AP50,AP75,latency_ms_median,latency_ms_mean,wall_s
m3_k256_sc,dpm_v3,1,1,1,0,61.71833990864427,83.64274691951856,65.8923576265698,47.22,52.38,42.4
m3_k256_sc,dpm_v3,1,1,1,1,62.00010421988708,83.92199630724141,66.2237588966915,46.37,48.26,39.3
m3_k256_sc,dpm_v3,1,1,1,2,62.221650578015996,84.37045907379752,65.78248732971988,45.9,47.69,39.0
m3_k256_sc,dpm_v3,2,2,2,0,61.92032652124484,83.87259153070217,65.65097258172543,74.21,76.08,60.3
m3_k256_sc,dpm_v3,2,2,2,1,62.09851177960225,84.59274922125068,66.43214097715249,74.17,76.56,60.9
m3_k256_sc,dpm_v3,2,2,2,2,62.23491134821742,84.24306515133202,65.92190141363393,74.46,76.53,60.7
m3_k256_sc,dpm_v3,3,3,3,0,50.99555296650381,70.8719207875346,54.55772899474886,103.82,106.69,83.4
m3_k256_sc,dpm_v3,3,3,3,1,49.410839156117845,69.51354568032313,51.404523076088495,96.13,98.8,77.4
m3_k256_sc,dpm_v3,3,3,3,2,50.44765401101421,70.7854585697482,53.35508049611539,98.31,101.29,79.3
m3_k256_sc,dpm_v3,4,4,4,0,56.01705476980056,78.61778122690974,59.90066084690798,128.27,131.46,101.7
m3_k256_sc,dpm_v3,4,4,4,1,56.662841759952244,78.21849656664939,61.80265973420216,131.26,135.76,105.0
m3_k256_sc,dpm_v3,4,4,4,2,56.14968472362014,78.41257558063549,59.63733918199491,127.64,131.74,101.9
m3_k256_sc,dpm_v3,6,6,6,0,47.351600196668784,67.95025868806765,49.26990031066493,184.11,189.2,144.9
m3_k256_sc,dpm_v3,6,6,6,1,46.42235617753822,66.03196476377057,49.24878566596092,184.7,190.6,145.9
m3_k256_sc,dpm_v3,6,6,6,2,45.65031685707902,64.89085927014615,47.19848558020705,185.23,190.76,146.0
m3_k256_sc,dpm_v3,8,8,8,0,52.813970089509354,73.67371812491923,56.67365876290628,241.45,246.54,187.8
m3_k256_sc,dpm_v3,8,8,8,1,52.27345708878725,72.57078782354331,55.524323816507135,243.82,251.25,192.3
m3_k256_sc,dpm_v3,8,8,8,2,53.441167070067365,74.36815315753222,56.639219377453685,243.99,251.04,191.2
m3_k256_sc,dpm_v3,10,10,10,0,55.7616044619071,77.23721085345794,59.32411593498358,298.51,306.6,232.8
m3_k256_sc,dpm_v3,10,10,10,1,54.968920409046895,76.72762402016942,58.437243872139966,297.1,305.63,232.1
m3_k256_sc,dpm_v3,10,10,10,2,55.159648932006135,76.89147532593661,59.906424412363954,297.32,305.99,232.6
