tag,solver,nfe_budget,sampling_steps,actual_nfe,seed,AP,AP50,AP75,latency_ms_median,latency_ms_mean,wall_s
m4_e0ctrl_full,ddim,1,1,1,0,67.09313683157367,88.42388610194641,72.97165308788536,39.31,41.12,33.7
m4_e0ctrl_full,ddim,1,1,1,1,66.82995430339751,88.40238012204502,72.33004456550215,38.78,39.6,32.8
m4_e0ctrl_full,ddim,1,1,1,2,66.92398936434034,88.58747458353584,72.36458295556827,39.01,39.79,32.9
m4_e0ctrl_full,ddim,2,2,2,0,66.10626091478157,87.32763016669733,71.8414229852254,63.31,64.21,52.0
m4_e0ctrl_full,ddim,2,2,2,1,66.4231087923887,87.86395449531939,71.7190011734286,63.5,64.24,52.1
m4_e0ctrl_full,ddim,2,2,2,2,66.08035490593606,87.33217039433818,71.58154091539667,62.75,63.85,51.5
m4_e0ctrl_full,ddim,3,3,3,0,65.69950984123398,86.0877625603747,71.59778514106824,86.74,87.78,69.4
m4_e0ctrl_full,ddim,3,3,3,1,65.37916772455061,85.82949412679692,71.54519703577803,88.01,89.46,70.6
m4_e0ctrl_full,ddim,3,3,3,2,64.96592197557793,85.94567855994976,70.06460492329731,88.2,89.53,70.8
m4_e0ctrl_full,ddim,4,4,4,0,64.87944714426015,85.4344322897937,69.69797378939259,110.07,111.53,87.3
m4_e0ctrl_full,ddim,4,4,4,1,64.69080453141328,85.62703966664844,70.37337712159587,110.63,112.12,88.1
m4_e0ctrl_full,ddim,4,4,4,2,64.65090413887027,84.96141802308517,70.33981385767974,112.42,114.34,89.4
m4_e0ctrl_full,ddim,6,6,6,0,64.58249460391336,84.65890046315535,70.69715401888338,159.37,159.73,124.1
m4_e0ctrl_full,ddim,6,6,6,1,64.33479825645327,84.5723819048221,70.41171191009884,158.31,159.26,123.5
m4_e0ctrl_full,ddim,6,6,6,2,64.42183346856808,84.71220687101813,70.11454128751572,160.55,161.34,125.3
m4_e0ctrl_full,ddim,8,8,8,0,63.12688491767773,83.52466663652115,68.87103090330028,206.28,207.26,160.8
m4_e0ctrl_full,ddim,8,8,8,1,63.569511740183714,84.22134987476088,69.06131097954487,204.93,207.26,159.3
m4_e0ctrl_full,ddim,8,8,8,2,63.99453814886256,84.42411913804834,69.06948437385462,208.02,210.71,161.9
m4_e0ctrl_full,ddim,10,10,10,0,63.846836246843765,84.04522146456718,69.25825046962409,254.15,256.66,196.5
m4_e0ctrl_full,ddim,10,10,10,1,63.35342504168449,83.45158680924335,69.25797592425019,255.53,256.16,196.5
m4_e0ctrl_full,ddim,10,10,10,2,62.95915744553863,83.57015393168827,68.34003635402692,251.97,252.65,193.7
m4_e0ctrl_full,euler,1,1,1,0,67.09313683157367,88.42388610194641,72.97165308788536,41.28,42.2,34.9
m4_e0ctrl_full,euler,1,1,1,1,66.82995430339751,88.40238012204502,72.33004456550215,41.2,41.97,35.0
m4_e0ctrl_full,euler,1,1,1,2,66.92398936434034,88.58747458353584,72.36458295556827,40.66,41.77,34.5
m4_e0ctrl_full,euler,2,2,2,0,66.60147689862083,87.82473882223596,72.86639621415202,64.99,66.76,53.5
