tag,solver,nfe_budget,sampling_steps,actual_nfe,seed,AP,AP50,AP75,latency_ms_median,latency_ms_mean,wall_s
m4_e0ctrl_ode,heun,2,1,1,0,67.09313683157367,88.42388610194641,72.97165308788536,40.31,42.81,35.8
m4_e0ctrl_ode,heun,2,1,1,1,66.82995430339751,88.40238012204502,72.33004456550215,40.5,40.98,34.0
m4_e0ctrl_ode,heun,2,1,1,2,66.92398936434034,88.58747458353584,72.36458295556827,39.89,41.02,33.8
m4_e0ctrl_ode,heun,4,2,3,0,66.60147689862083,87.82473882223596,72.86639621415202,64.15,65.55,52.6
m4_e0ctrl_ode,heun,4,2,3,1,66.69825444682878,87.80332933213903,72.42403538796988,64.48,65.8,52.7
m4_e0ctrl_ode,heun,4,2,3,2,66.49148439042011,87.96834960544714,72.18645313091949,64.64,65.53,53.3
m4_e0ctrl_ode,dpm_v3,2,2,2,0,67.11512574878951,88.48095931650263,72.57588566570283,76.67,79.58,62.7
m4_e0ctrl_ode,dpm_v3,2,2,2,1,67.1499290624962,88.80967289412207,73.66567530190163,68.25,72.97,58.0
m4_e0ctrl_ode,dpm_v3,2,2,2,2,67.0696617677104,88.67437026900745,73.02328935406132,77.87,80.54,63.6
m4_e0ctrl_ode,dpm_v3,4,4,4,0,65.93673658920312,87.32707084465213,71.3583864779109,138.02,143.16,111.1
m4_e0ctrl_ode,dpm_v3,4,4,4,1,66.07017696157557,86.74448325718318,72.6408396546594,138.4,140.83,109.1
m4_e0ctrl_ode,dpm_v3,4,4,4,2,65.98565071556278,86.62402315571107,72.27247086317541,137.82,140.71,109.0
