tag,solver,nfe_budget,sampling_steps,actual_nfe,seed,AP,AP50,AP75,latency_ms_median,latency_ms_mean,wall_s
m4_diag,edm_heun,1,1,1,0,0.07861922946677935,0.3948311966938095,0.003799602252256266,100.23,101.89,78.3
m4_diag,edm_heun,1,1,1,1,0.07861922946677935,0.3948311966938095,0.003799602252256266,100.06,100.49,77.1
m4_diag,edm_heun,1,1,1,2,0.07861922946677935,0.3948311966938095,0.003799602252256266,98.55,99.27,76.2
m4_diag,edm_heun,4,2,3,0,0.15876044365571254,0.6445209674049147,0.036079771476759524,182.34,183.73,140.3
m4_diag,edm_heun,4,2,3,1,0.23876309645435434,0.9703193488972275,0.07692433936739637,181.66,182.94,139.3
m4_diag,edm_heun,4,2,3,2,0.19053437294282694,0.7876232878388298,0.04291537277704162,177.31,178.01,135.8
m4_diag,dpm_v3,1,1,1,0,15.358921479660143,32.43833004363867,13.05587513056067,69.41,69.62,54.0
m4_diag,dpm_v3,1,1,1,1,15.559371348623394,32.48477365866758,12.840555515639739,68.15,68.72,53.6
m4_diag,dpm_v3,1,1,1,2,15.526412832019906,33.091913630300695,12.791054142991145,69.82,70.05,54.5
m4_diag,dpm_v3,2,2,2,0,12.175360107695296,28.047904800992356,7.980347406693269,109.58,110.19,84.7
m4_diag,dpm_v3,2,2,2,1,12.368957234757382,27.838593608601613,8.584671752388997,111.3,112.29,86.6
m4_diag,dpm_v3,2,2,2,2,11.943613261487016,27.277597701169316,8.140500467904443,113.31,114.1,87.8
m4_diag,dpm_v3,4,4,4,0,10.539277590654002,25.122983990460952,7.288013070567318,201.13,203.63,155.8
m4_diag,dpm_v3,4,4,4,1,10.2365144554714,25.120043605058406,6.790316393879019,200.91,202.91,155.5
m4_diag,dpm_v3,4,4,4,2,10.101795746590891,23.66562138911016,7.3854216311839265,195.24,196.85,150.6
