tag,solver,nfe_budget,sampling_steps,actual_nfe,seed,AP,AP50,AP75,latency_ms_median,latency_ms_mean,wall_s
m4_e1,edm_heun,1,1,1,0,0.07861922946677935,0.3948311966938095,0.003799602252256266,83.35,86.31,68.2
m4_e1,edm_heun,1,1,1,1,0.07861922946677935,0.3948311966938095,0.003799602252256266,82.52,84.44,65.2
m4_e1,edm_heun,1,1,1,2,0.07861922946677935,0.3948311966938095,0.003799602252256266,84.16,85.75,66.2
m4_e1,edm_heun,4,2,3,0,0.0,0.0,0.0,133.57,135.99,105.2
m4_e1,edm_heun,4,2,3,1,0.0006385717193331912,0.001509016743092844,0.0005612806178577042,145.73,147.13,113.0
m4_e1,edm_heun,4,2,3,2,0.0004092740451120258,0.0015263602413684329,0.0,145.71,147.9,113.5
m4_e1,dpm_v3,1,1,1,0,3.803832920343015,9.034715615423544,3.620278868194018,56.77,57.57,44.9
m4_e1,dpm_v3,1,1,1,1,4.117375553374744,9.405720284654242,3.9935173706136315,56.52,57.52,45.0
m4_e1,dpm_v3,1,1,1,2,3.799690160439518,8.823273088122614,3.712288514852433,56.13,57.15,44.6
m4_e1,dpm_v3,2,2,2,0,5.298918950100714,11.5490265676117,4.427953347004307,89.67,90.54,70.0
m4_e1,dpm_v3,2,2,2,1,5.597048216210868,11.731997895838331,4.693714721348085,90.14,91.35,70.8
m4_e1,dpm_v3,2,2,2,2,5.675329960927136,11.498124071314706,4.896430899006645,89.14,90.53,70.0
m4_e1,dpm_v3,4,4,4,0,1.8249808588086565,6.857646136811035,0.3310353106987697,157.41,160.78,123.2
m4_e1,dpm_v3,4,4,4,1,1.816924371247651,6.912580647583446,0.45516548069387447,161.07,166.11,127.3
m4_e1,dpm_v3,4,4,4,2,2.361040275061878,7.677506795070449,0.7106434725650362,212.52,241.92,184.1
