tag,solver,nfe_budget,sampling_steps,actual_nfe,seed,AP,AP50,AP75,latency_ms_median,latency_ms_mean,wall_s
m4_e1_v3,edm_heun,1,1,1,0,0.07861922946677935,0.3948311966938095,0.003799602252256266,79.67,82.23,63.7
m4_e1_v3,edm_heun,1,1,1,1,0.07861922946677935,0.3948311966938095,0.003799602252256266,79.08,80.78,62.4
m4_e1_v3,edm_heun,1,1,1,2,0.07861922946677935,0.3948311966938095,0.003799602252256266,78.48,80.0,61.8
m4_e1_v3,edm_heun,4,2,3,0,0.14726096125738794,0.42438393849239636,0.1539743143315265,140.48,143.48,109.8
m4_e1_v3,edm_heun,4,2,3,1,0.13955542326688344,0.6417022052903081,0.013885424741788477,138.47,141.72,108.5
m4_e1_v3,edm_heun,4,2,3,2,0.08119870462632203,0.31633570180863735,0.02067031770002067,138.03,141.62,108.7
m4_e1_v3,dpm_v3,1,1,1,0,5.029494847891987,9.245625856179371,4.306146431850431,55.24,56.39,44.2
m4_e1_v3,dpm_v3,1,1,1,1,5.248566111500899,9.205869907272152,4.69243769474546,55.37,56.32,44.2
m4_e1_v3,dpm_v3,1,1,1,2,4.885939096676831,8.881849352684148,4.441751091184476,55.62,56.24,44.3
m4_e1_v3,dpm_v3,2,2,2,0,3.587125554691632,8.605946215455248,2.723606311077157,87.38,88.99,69.1
m4_e1_v3,dpm_v3,2,2,2,1,3.9538049075441104,9.231030619855492,3.0290299851591853,88.07,90.37,70.2
m4_e1_v3,dpm_v3,2,2,2,2,3.456646084612585,8.794127346216712,2.0762606723570647,88.25,89.88,69.9
m4_e1_v3,dpm_v3,4,4,4,0,3.2204241342703424,6.719368474968321,2.780839566047801,156.49,160.63,123.6
m4_e1_v3,dpm_v3,4,4,4,1,3.2669314269486356,6.764556133999509,2.5739259170770175,157.44,161.2,124.1
m4_e1_v3,dpm_v3,4,4,4,2,3.2936931781367402,6.900463377291445,2.5522345300928704,156.35,159.34,122.6
