tag,solver,nfe_budget,sampling_steps,actual_nfe,seed,AP,AP50,AP75,latency_ms_median,latency_ms_mean,wall_s
m7_wheat,ddim,1,1,1,0,24.077595886377175,44.63789473307104,22.35621399542807,51.4,81.84,11.1
m7_wheat,ddim,1,1,1,1,24.096651659881484,44.06631180808676,23.022470912287044,45.78,46.12,6.6
m7_wheat,ddim,1,1,1,2,24.305920108945372,43.68614678595028,23.053097710810853,43.24,44.19,6.2
m7_wheat,ddim,2,2,2,0,20.53001590236336,40.03718008277619,18.24250403866673,67.05,69.06,9.5
m7_wheat,ddim,2,2,2,1,21.86538011056432,40.27561990105365,20.996162705245546,65.63,67.44,9.1
m7_wheat,ddim,2,2,2,2,21.599073209080252,40.09854223765664,20.519325145217834,69.77,70.99,9.7
m7_wheat,ddim,3,3,3,0,20.970842466583438,38.61176716378576,20.491258492772715,90.59,91.58,12.4
m7_wheat,ddim,3,3,3,1,19.65731869505431,37.80947733000981,18.07375838367608,96.88,97.24,14.6
m7_wheat,ddim,3,3,3,2,19.86629203248107,38.5176056731684,17.458497227741603,91.81,93.46,12.5
m7_wheat,dpm_v3,1,1,1,0,24.077595886377175,44.63789473307104,22.35621399542807,55.13,58.38,8.1
m7_wheat,dpm_v3,1,1,1,1,24.096651659881484,44.06631180808676,23.022470912287044,53.75,56.22,7.7
m7_wheat,dpm_v3,1,1,1,2,24.305920108945372,43.68614678595028,23.053097710810853,53.99,56.72,7.7
m7_wheat,dpm_v3,2,2,2,0,23.802887500082413,44.417507593960046,23.068905575676396,84.41,87.76,11.8
m7_wheat,dpm_v3,2,2,2,1,24.22704167995679,44.57694808601757,22.544361467813236,95.5,97.83,13.0
m7_wheat,dpm_v3,2,2,2,2,24.2005825384141,44.39216475758306,22.843844022059802,97.21,99.6,13.3
m7_wheat,dpm_v3,3,3,3,0,21.62525465304086,40.18450493666573,19.297106361406282,115.18,120.2,15.6
m7_wheat,dpm_v3,3,3,3,1,22.275677557067837,41.2536780169497,21.210371163482158,124.59,129.53,16.9
m7_wheat,dpm_v3,3,3,3,2,21.12363008972071,39.635521414235114,19.17552706489982,127.88,129.77,17.0
m7_wheat,heun,1,1,1,0,24.077595886377175,44.63789473307104,22.35621399542807,47.17,48.13,6.8
m7_wheat,heun,1,1,1,1,24.096651659881484,44.06631180808676,23.022470912287044,47.48,47.96,6.9
m7_wheat,heun,1,1,1,2,24.305920108945372,43.68614678595028,23.053097710810853,48.95,49.7,7.2
m7_wheat,heun,3,2,3,0,21.974381979151975,40.86165036130257,19.740380915740072,77.28,79.07,10.6
m7_wheat,heun,3,2,3,1,22.219884971203697,41.74254725799208,20.169162036575386,76.14,80.93,10.8
m7_wheat,heun,3,2,3,2,21.673814092092304,40.99055385392805,19.355484962584754,72.04,74.33,10.1
