tag,solver,nfe_budget,sampling_steps,actual_nfe,seed,AP,AP50,AP75,latency_ms_median,latency_ms_mean,wall_s
m7_wheat_ode,dpm_v3,1,1,1,0,24.077595886377175,44.63789473307104,22.35621399542807,67.61,98.65,13.2
m7_wheat_ode,dpm_v3,1,1,1,1,24.096651659881484,44.06631180808676,23.022470912287044,70.25,70.47,9.5
m7_wheat_ode,dpm_v3,1,1,1,2,24.305920108945372,43.68614678595028,23.053097710810853,74.31,74.13,9.9
m7_wheat_ode,dpm_v3,2,2,2,0,23.802887500082413,44.417507593960046,23.068905575676396,86.62,92.26,12.1
m7_wheat_ode,dpm_v3,2,2,2,1,24.22704167995679,44.57694808601757,22.544361467813236,84.52,88.26,11.6
m7_wheat_ode,dpm_v3,2,2,2,2,24.2005825384141,44.39216475758306,22.843844022059802,99.03,103.31,14.0
m7_wheat_ode,dpm_v3,3,3,3,0,21.62525465304086,40.18450493666573,19.297106361406282,125.21,128.29,16.6
m7_wheat_ode,dpm_v3,3,3,3,1,22.275677557067837,41.2536780169497,21.210371163482158,112.98,116.22,15.1
m7_wheat_ode,dpm_v3,3,3,3,2,21.12363008972071,39.635521414235114,19.17552706489982,130.18,133.4,17.7
m7_wheat_ode,heun,1,1,1,0,24.077595886377175,44.63789473307104,22.35621399542807,48.06,49.26,6.9
m7_wheat_ode,heun,1,1,1,1,24.096651659881484,44.06631180808676,23.022470912287044,48.26,48.69,7.1
m7_wheat_ode,heun,1,1,1,2,24.305920108945372,43.68614678595028,23.053097710810853,44.77,45.79,6.4
m7_wheat_ode,heun,3,2,3,0,21.974381979151975,40.86165036130257,19.740380915740072,68.46,68.96,9.5
m7_wheat_ode,heun,3,2,3,1,22.219884971203697,41.74254725799208,20.169162036575386,75.03,75.64,10.1
m7_wheat_ode,heun,3,2,3,2,21.673814092092304,40.99055385392805,19.355484962584754,73.94,74.83,10.0
