tag,solver,nfe_budget,sampling_steps,actual_nfe,seed,AP,AP50,AP75,latency_ms_median,latency_ms_mean,wall_s
m8_sdd_long,ddim,1,1,1,0,70.13489043266526,90.81796341731271,77.05142544567988,40.56,42.46,35.3
m8_sdd_long,ddim,1,1,1,1,70.4191353521694,90.97110576982584,77.00549142703692,41.32,42.23,34.8
m8_sdd_long,ddim,1,1,1,2,70.25741811393218,91.02555834376255,76.34868740328888,42.74,43.73,36.0
m8_sdd_long,ddim,2,2,2,0,69.52081147725468,90.12880413601532,75.91769426080958,62.07,63.7,51.5
m8_sdd_long,ddim,2,2,2,1,69.6900490301056,89.93817091867884,76.33028047063453,59.86,61.19,49.4
m8_sdd_long,ddim,2,2,2,2,69.44507123583003,89.7798671065002,75.25949580648194,60.89,62.77,50.8
m8_sdd_long,dpm_v3,1,1,1,0,70.13489043266526,90.81796341731271,77.05142544567988,46.96,48.52,39.4
m8_sdd_long,dpm_v3,1,1,1,1,70.4191353521694,90.97110576982584,77.00549142703692,48.1,50.54,41.8
m8_sdd_long,dpm_v3,1,1,1,2,70.25741811393218,91.02555834376255,76.34868740328888,48.89,50.46,41.1
m8_sdd_long,dpm_v3,2,2,2,0,70.3199601839685,90.97927663393702,76.8410279498477,74.77,77.29,61.4
m8_sdd_long,dpm_v3,2,2,2,1,70.49925350641207,90.99776742595232,77.39144870309683,75.49,78.53,62.1
m8_sdd_long,dpm_v3,2,2,2,2,70.25285692910055,90.78205362347248,76.62642120024015,62.83,67.02,53.5
