tag,solver,nfe_budget,sampling_steps,actual_nfe,seed,AP,AP50,AP75,latency_ms_median,latency_ms_mean,wall_s
m8_wheat_long,ddim,1,1,1,0,23.632377946305752,42.464566895310426,22.07421200379328,48.86,86.22,11.6
m8_wheat_long,ddim,1,1,1,1,24.48913431061341,42.909030803706926,22.744044575337927,47.3,49.46,6.8
m8_wheat_long,ddim,1,1,1,2,23.768526594405053,41.66278350030499,21.38374951066532,45.44,46.99,6.6
m8_wheat_long,ddim,2,2,2,0,22.580365287583476,39.08042667212091,21.388713243937,70.95,73.64,10.0
m8_wheat_long,ddim,2,2,2,1,22.908585749985715,39.5437521179729,22.118078286901195,78.68,81.8,10.9
m8_wheat_long,ddim,2,2,2,2,23.32268515133684,40.063620428826276,22.99025035905563,74.03,75.34,10.1
m8_wheat_long,dpm_v3,1,1,1,0,23.632377946305752,42.464566895310426,22.07421200379328,61.31,63.58,8.7
m8_wheat_long,dpm_v3,1,1,1,1,24.48913431061341,42.909030803706926,22.744044575337927,64.84,65.54,8.8
m8_wheat_long,dpm_v3,1,1,1,2,23.768526594405053,41.66278350030499,21.38374951066532,76.56,77.02,10.2
m8_wheat_long,dpm_v3,2,2,2,0,23.865487094048675,41.840404204230936,22.18159263446389,102.88,105.04,13.7
m8_wheat_long,dpm_v3,2,2,2,1,24.321616591161092,43.08689022332789,22.710204431780966,90.43,92.2,12.1
m8_wheat_long,dpm_v3,2,2,2,2,23.800854335924086,41.182964710911335,22.48795484813036,90.91,92.63,12.1
